system:index,actual_evapotranspiration,community,date,max_temperature,min_temperature,potential_evapotranspiration,precipitation,province,soil_moisture,.geo
199801_00000000000000000003,270.4608273436305,Andalucía,1998-01-01T00:00:00,12.185804404343173,3.8252416271601164,370.22764184126004,25.946008564000614,Almería,592.0700107050006,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_0000000000000000000a,413.3929250215977,Andalucía,1998-01-01T00:00:00,15.152559450734328,8.217208202609918,413.4022007002227,67.28743691174462,Cádiz,1558.1606511162645,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_0000000000000000000d,356.72288024064665,Andalucía,1998-01-01T00:00:00,12.997640292902572,4.959516681851704,356.7315525860364,49.50801432696524,Córdoba,1434.689555102415,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000011,307.909753280061,Andalucía,1998-01-01T00:00:00,10.35408126496958,1.8023066406663975,328.91673731957013,35.85275758282287,Granada,1054.1639288666568,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000014,370.8258253900195,Andalucía,1998-01-01T00:00:00,14.14617038820541,7.450943632705561,370.8258253900195,56.01781721033015,Huelva,1569.068650021439,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000016,329.60434609387715,Andalucía,1998-01-01T00:00:00,11.454542592802103,3.626086892365807,348.00104274773884,33.86238681022488,Jaén,897.4650163052311,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_0000000000000000001c,405.70605062333306,Andalucía,1998-01-01T00:00:00,13.838582989600335,5.647710138508247,406.90116177135513,61.2467864426173,Málaga,1360.4934713801913,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000026,386.98726582121617,Andalucía,1998-01-01T00:00:00,14.692443370554104,6.5972587201959705,386.98726582121617,56.34485700260688,Sevilla,1349.6460355813545,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000015,319.794284846814,Aragón,1998-01-01T00:00:00,8.855526392534271,1.049079766855626,354.31743748926345,46.39550250282638,Huesca,891.1407695042689,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000029,269.0231970671167,Aragón,1998-01-01T00:00:00,8.132962116926688,0.7145940297347361,286.71405685267786,40.08540424300785,Teruel,434.5482487768857,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_0000000000000000002f,311.20244003912205,Aragón,1998-01-01T00:00:00,10.612037429017711,2.6682594192955,384.6407237639226,25.077533100740105,Zaragoza,366.6189108506194,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000032,310.5506104550663,Canarias,1998-01-01T00:00:00,19.732547899343135,14.163507341836645,852.4244618715767,32.61291144307575,Las Palmas,11.063119780199784,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000033,458.5911567016653,Canarias,1998-01-01T00:00:00,17.23925449193867,11.851504634714235,824.4350920353204,48.06890568027063,Santa Cruz de Tenerife,32.102161402275634,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000024,425.0893689701333,Cantabria,1998-01-01T00:00:00,10.484115773438592,4.548360107095052,430.70941236209234,51.700087707150466,Cantabria,1950.1036098416666,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000004,241.83056904098677,Castilla y León,1998-01-01T00:00:00,8.093403899721446,0.6892415439713488,257.51512932749705,42.341727019498585,Ávila,680.591173895742,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000008,292.71160916382104,Castilla y León,1998-01-01T00:00:00,8.331858800748387,1.7562864980614334,301.3816732303211,33.732547439302564,Burgos,1254.9087150501766,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000017,289.5664084602449,Castilla y León,1998-01-01T00:00:00,7.936694001482284,1.1499183143264717,300.3200086068805,78.6914991114193,León,1556.7960846662054,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000021,296.7346205657836,Castilla y León,1998-01-01T00:00:00,8.524091479181834,1.4909473081151385,303.64146137528473,38.860938637102656,Palencia,1092.2700013935564,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000023,292.95391245485035,Castilla y León,1998-01-01T00:00:00,9.516742196018049,3.1046061708427404,295.22673273977756,87.67605917642868,Salamanca,680.0195273946764,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000025,245.79168194821386,Castilla y León,1998-01-01T00:00:00,8.117098217560331,1.0206135846842224,253.2872441868993,33.24503044084207,Segovia,653.7294432626719,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000027,276.1854360918346,Castilla y León,1998-01-01T00:00:00,8.436745437314672,0.42385864082418784,303.82996545504574,26.418476964935344,Soria,823.1217266363002,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_0000000000000000002c,258.47364332051427,Castilla y León,1998-01-01T00:00:00,9.222058812104263,2.0999386240919886,261.7201880122752,37.49149671755428,Valladolid,541.97471934118,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_0000000000000000002e,253.97120334620345,Castilla y León,1998-01-01T00:00:00,9.038503980170626,2.363104771438104,258.501876876877,77.98132060632061,Zamora,721.8730337480339,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000001,312.97876774667253,Castilla-La Mancha,1998-01-01T00:00:00,10.473928604404726,1.3946007026121514,332.12765293246014,36.40239275051991,Albacete,451.10758144013477,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_0000000000000000000c,297.6306029048233,Castilla-La Mancha,1998-01-01T00:00:00,11.089792744227886,2.719902576881195,298.91338806765305,34.76756114591294,Ciudad Real,692.1406777922276,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_0000000000000000000f,308.85793681636926,Castilla-La Mancha,1998-01-01T00:00:00,9.831696706497576,1.0848821107996236,314.35149431966096,43.70409037228762,Cuenca,815.2464297437712,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000012,278.6827185257155,Castilla-La Mancha,1998-01-01T00:00:00,8.727211897075893,0.8534856510065725,289.1046583299382,33.106664159379896,Guadalajara,636.4365813144456,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_0000000000000000002a,280.26066031135935,Castilla-La Mancha,1998-01-01T00:00:00,11.263122782174795,3.316641380298553,291.00582007906223,28.87476926189091,Toledo,596.4367503645454,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000007,294.01205172231397,Cataluña/Catalunya,1998-01-01T00:00:00,9.432583593057027,3.4923425586107566,298.70762570491587,50.875617437157686,Barcelona,1214.851058289322,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000010,305.38200010588145,Cataluña/Catalunya,1998-01-01T00:00:00,9.897279898353533,3.699766001376466,335.8383927153368,52.5887871247816,Girona,1343.2284821853982,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000018,236.8966147321176,Cataluña/Catalunya,1998-01-01T00:00:00,7.708471147758685,0.7561361519021221,263.5788051450718,53.29919241518818,Lleida,946.1897695629567,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000028,350.10559732328187,Cataluña/Catalunya,1998-01-01T00:00:00,11.595212948219212,4.500897950134036,351.1183863100395,56.57931388950473,Tarragona,884.0901779775456,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000030,504.1149825783973,Ciudad Autónoma de Ceuta,1998-01-01T00:00:00,17.114982578397214,9.401393728222999,504.1149825783973,74.26132404181187,Ceuta,1973.7003484320562,"{""type"":""MultiPoint"",""coordinates"":[]}"
199801_00000000000000000031,335.9154228855721,Ciudad Autónoma de Melilla,1998-01-01T00:00:00,16.45074626865672,9.002985074626867,481.74626865671644,28.900497512437813,Melilla,243.19402985074626,"{""type"":""MultiPoint"",""coordinates"":[]}"
