province,total,table_olive,olive_oil,year
Araba/Álava,205,0,205,1998
Navarra,6843,105,6738,1998
La Rioja,2868,15,2853,1998
Huesca,5727,0,5727,1998
Teruel,15215,1352,13863,1998
Zaragoza,16483,620,15863,1998
Barcelona,1424,22,1402,1998
Girona,4104,8,4096,1998
Lleida,30853,215,30638,1998
Tarragona,74810,789,74021,1998
Illes Balears,565,177,388,1998
Ávila,1548,14,1534,1998
Salamanca,4691,1213,3478,1998
Zamora,492,0,492,1998
Madrid,12430,187,12243,1998
Albacete,13719,121,13598,1998
Ciudad Real,56750,0,56750,1998
Cuenca,18847,22,18825,1998
Guadalajara,13066,63,13003,1998
Toledo,82872,0,82872,1998
Alacant/Alicante,28623,1214,27409,1998
Castelló/Castellón,21678,60,21618,1998
València/Valencia,22922,100,22822,1998
Murcia,19078,1145,17933,1998
Badajoz,178723,46752,131971,1998
Cáceres,46131,17300,28831,1998
Almería,17785,1779,16006,1998
Cádiz,31899,0,31899,1998
Córdoba,902291,32000,870291,1998
Granada,205581,500,205081,1998
Huelva,13062,4197,8865,1998
Jaén,1685325,4361,1680964,1998
Málaga,201951,19093,182858,1998
Sevilla,540621,178436,362185,1998
Araba/Álava,443,0,443,1999
Navarra,6009,0,6009,1999
La Rioja,2624,15,2609,1999
Huesca,7577,0,7577,1999
Teruel,27754,1947,25807,1999
Zaragoza,18062,615,17447,1999
Barcelona,1541,29,1512,1999
Girona,3169,9,3160,1999
Lleida,63409,216,63193,1999
Tarragona,146631,153,146478,1999
Illes Balears,1539,464,1075,1999
Ávila,7499,66,7433,1999
Salamanca,4729,1214,3515,1999
Zamora,429,0,429,1999
Madrid,2828,15,2813,1999
Albacete,36493,409,36084,1999
Ciudad Real,169655,0,169655,1999
Cuenca,22185,25,22160,1999
Guadalajara,9670,60,9610,1999
Toledo,185125,9,185116,1999
Alacant/Alicante,43805,1831,41974,1999
Castelló/Castellón,48394,105,48289,1999
València/Valencia,47428,28,47400,1999
Murcia,24565,3497,21068,1999
Badajoz,234000,27000,207000,1999
Cáceres,117000,40000,77000,1999
Almería,23782,713,23069,1999
Cádiz,15152,0,15152,1999
Córdoba,997155,31000,966155,1999
Granada,489241,2071,487170,1999
Huelva,20284,4500,15784,1999
Jaén,2153400,4743,2148657,1999
Málaga,416770,9267,407503,1999
Sevilla,531265,178433,352832,1999
Las Palmas,30,30,0,1999
Araba/Álava,190,0,190,2000
Navarra,4591,21,4570,2000
La Rioja,2111,20,2091,2000
Huesca,6112,0,6112,2000
Teruel,7504,604,6900,2000
Zaragoza,7897,931,6966,2000
Barcelona,1412,19,1393,2000
Girona,3352,33,3319,2000
Lleida,27867,195,27672,2000
Tarragona,55738,262,55476,2000
Illes Balears,423,148,275,2000
Ávila,1834,2,1832,2000
Salamanca,1663,503,1160,2000
Zamora,446,0,446,2000
Madrid,10142,142,10000,2000
Albacete,20002,1110,18892,2000
Ciudad Real,118175,0,118175,2000
Cuenca,15998,23,15975,2000
Guadalajara,8168,54,8114,2000
Toledo,66329,0,66329,2000
Alacant/Alicante,21927,374,21553,2000
Castelló/Castellón,23096,68,23028,2000
València/Valencia,19286,0,19286,2000
Murcia,17551,1919,15632,2000
Badajoz,195041,55417,139624,2000
Cáceres,36950,10000,26950,2000
